prompt,response
 Anything on Nat?," Haven't heard. But she's alive, or Ultron'd be rubbing our faces in it."
" We're going to need to access the program, break it down from within."," Hm. Any chance Natasha might leave you a message, outside the internet, old school spy stuff?"
" I can work on tissue degeneration, if you can fry whatever operational system Cho implanted."," Yeah, about that."
  No., You have to trust me.
 Kinda don't., Our ally? The guy protecting the military's nuclear codes? I found him. 
" Hello, Dr. Banner."," Ultron didn't go after JARVIS cause he was angry. He attacked him because he was scared of what he can do. So JARVIS went underground. Okay? Scattered, dumped his memory. But not his protocols. He didn't even know he was in there, until I pieced him together."
" So, you want me to help you put JARVIS into this thing?"," No, of course not! I want to help you put JARVIS in this thing.  We're out of my field here. You know bio-organics better than anyone."
 And you just assume that JARVIS' operational matrix can beat Ultron's?," JARVIS has been beating him from inside without knowing it. This is the opportunity, we can create Ultron's perfect self, without the homicidal glitches he thinks are his winning personality. We have to."
" No, I'm in a loop! I'm caught in a time loop, this is exactly where it all went wrong."," I know, I know. I know what everyone's going to say, but they're already saying it. We're mad scientists. We're monsters, buddy. You gotta own it. Make a stand.  It's not a loop. It's the end of the line."
"  I wasn't sure you'd wake up. I hoped you would, I wanted to show you something. I don't have anyone else. I think a lot about meteors, the purity of them. Boom! The end, start again. The world made clean for the new man to rebuild. I was meant to be new. I was meant to be beautiful. The world would've looked to the sky and seen hope, seen mercy. Instead they'll look up in horror because of you. You've wounded me. I give you full marks for that. But, like the man said, ""What doesn't kill me…""  ""…just makes me stronger."" ", This framework is not compatible.
 I'm gonna say this once.," How about ""nonce""?"
 Shut it down!," Nope, not gonna happen."
" Banner, after everything that's happened--", That's nothing compared to what's coming!
 What? You didn't see that coming?, I'm rerouting the upload.
" Why does your ""vision"" sound like JARVIS?", We... reconfigured JARVIS' matrix to create something new.
" I am on the side of life. Ultron isn't, he will end it all.", What's he waiting for?
" Good evening, boss."," No way we all get through this. If even one tin soldier is left standing, we've lost. It's gonna be blood on the floor."
 I got no plans tomorrow night., I get first crack at the big guy. Iron Man's the one he's waiting for.
 Come to confess your sins?," I don't know, how much time you got?"
 More than you.," Uhhh. Have you been juicing? A little Vibranium cocktail? You're looking, I don't wanna say, puffy..."
 You're stalling to protect the people.," Well, that is the mission. Did you forget?"
 Alright., FRIDAY! The Vision?
"  You shut me out! You think I care? You take away my world, I take away yours. ", FRIDAY?
" The Vibranium core has got a magnetic field, that's what's keeping the rock together.", If it drops?
" Right now the impact would kill thousands. Once it gets high enough: Global extinction.  That building's not clear, the tenth floor. ", Hi. Okay. Get in the tub! 
" I got airborne, heading up to the bridge."," Cap, you got incoming."
" The anti-gravs are rigged to flip. Touch 'em, they'll go full reverse thrust. The city's not coming down slow.", The spire's Vibranium. If I get Thor to hit it...
" It'll crack, but that's not enough, the impact would still be devastating."," Maybe if we cap the other end, keep the atomic action doubling back."
" The next wave's gonna hit any minute. What have you got, Stark?"," Well, nothing great. Maybe a way to blow up the city. That'll keep it from impacting the surface if you guys can get clear."
" I asked for a solution, not an escape plan.", Impact radius is getting bigger every second. We're going to have to make a choice.
 Yes! Now this is gonna be a good story., Yep. If you live to tell it.
 You think I can't hold my own?," We get through this, I'll hold your own."
" Well, if there's too much weight, you lose power on the swing, so.", I got it! Create a heat seal. I can...I can supercharge the spire from below.
 Running numbers.  A heat seal could work with enough power.," Thor, I got a plan!"
 We're out of time. They're coming for the core.," Rhodey, get the rest of the people on board that carrier."
 On it.," Avengers, time to work for a living."
 Yeah.," Romanoff? You and Banner better not be playing ""hide the zucchini."""
" Relax, Shell-head. Not all of us can fly.  What's the drill?","  This is the drill. If Ultron gets a hand on the core, we lose."
" This is the best I can do. This is exactly what I wanted. All of you, against all of me. How could you possibly hope to stop me?"," Well, like the old man said. Together."
 They'll try to leave the city.," We can't let 'em, not even one. Rhodey!"
" Boss, power levels are way below opt...", Re-route everything. We get one shot at this.
 Costel? We were in the market. Costel?!," Thor, I'm gonna need you back in the church."
 Yeah. Everyone else is on the carrier.," You know, if this works, we maybe don't walk away."
 I just did. Do you know how it felt?  It felt like that.," Thor, on my mark.  Now!"
 The rules have changed., We're dealing with something new.
" Well, the Vision's artificial intelligence.", A machine.
 So it doesn't count., No. It's not like a person lifting the hammer.
 Right. Different rules for us.," Nice guy, but artificial."
 But if you put the hammer in an elevator..., It would still go up.
 I'm going to miss these little talks of ours.," Well, not if you don't leave."
 I have no choice. The Mind Stone is the fourth of the Infinity Stones to show up in the last few years. That's not a coincidence. Someone has been playing an intricate game and has made pawns of us. But once all these pieces are in position..., Triple Yahtzee?
" I do.  Besides this one, there's nothing that can't be explained. ", That man has no regard for lawn maintenance. I'm gonna miss him though. And you're gonna miss me. There's gonna be a lot of manful tears. 
" I will miss you, Tony."," Yeah? Well, it's time for me to tap out. Maybe I should take a page out of Barton's book and build Pepper a farm, hope nobody blows it up."
 The simple life., You'll get there one day.
" I don't know, family, stability. The guy who wanted all that went in the ice seventy-five years ago. I think someone else came out. ", You alright?
" I love you, Dad. And I know you did the best you could."," That's how I wished it happened. Binarily Augmented Retro-Framing, or BARF. God, I gotta work on that acronym. An extremely costly method of hijacking the hippocampus to . . . clear traumatic memories. Huh."
iron man," It doesn't change the fact that they never made it to the airport . . . or all the things I did to avoid processing my grief, but . . .  Plus, 611 million dollars for my little therapeutic experiment? No one in the right mind would've ever funded it."
 Tony.]," Help me out, what's the MIT mission statement? ""To generate, disseminate . . . and preserve knowledge. And work with others . . . to bring it to bear on the world's great challenges."" Well, you are the others. And, quiet as it's kept . . . the challenges facing you are the greatest mankind's ever known. Plus, most of you are broke."
iron man," Oh, I'm sorry. Rather, you were. As of this moment . . . every student has been made an equal recipient of the Inaugural September Foundation Grant. As in . . . all of your projects have just been approved and funded."
iron man," No strings, no taxes… just re-frame the future! Starting now."
 Pepper Potts.' Tony stares at it sadly.], Go break some eggs.
" Wow. Wow. That uh . . . that took my breathe away. Oh, Tony! So generous. So much money! Wow! Out of curiosity . . . will any portion of that grant be made available to faculty? I know, ""Ooh, gross,"" but hear me out. I have got this killer idea for a self-cooking hot dog. Basically, chemical detonator embedded . . ."," Restroom's this way, yeah?"
" Mr. Stark, I am so sorry about the teleprompter. I didn't know Miss Potts had cancelled. They didn't have time to fix it.", It's . . . fine. I'll be right back.
" That was nice, what you did for those young people."," Ah, they deserve it. Plus, it helps ease my conscience."
